,0
singing,51
company,51
asking,51
figure,51
cat,51
middle,51
flight,51
control,51
month,51
kept,51
ridiculous,51
friday,51
suppose,51
hits,51
pilot,50
cars,50
crying,50
bout,50
gentlemen,50
fat,50
stopped,50
return,50
missed,50
candy,50
theyll,50
stick,50
fake,50
howd,50
lose,50
nine,50
key,50
starting,49
yep,49
annoyed,49
angry,49
visit,49
ran,49
sold,49
shakes,49
sense,49
hed,49
sandwich,49
cleaning,49
afternoon,49
human,49
road,49
shoulder,49
threw,49
checks,48
florida,48
rock,48
mad,48
death,48
button,48
pulling,48
bowl,48
blood,48
wondering,48
sleeping,47
ice,47
buying,47
truth,47
owe,47
shouting,47
died,47
uncomfortable,47
bite,47
christmas,47
attention,47
soda,47
double,47
past,46
bother,46
decided,46
breath,46
foot,46
brown,46
stole,46
sister,46
weird,46
magazine,46
pleasure,46
grab,45
pie,45
chuckles,45
poor,45
paying,45
neck,45
class,45
fix,45
save,45
tough,45
enjoy,45
garbage,45
imagine,45
die,45
spend,45
tries,45
surprised,45
hungry,45
answer,45
bra,45
market,45
luck,44
toe,44
noise,44
leg,44
fell,44
comedian,44
straight,44
horse,44
dr,44
flying,44
sent,44
definitely,44
cost,44
words,44
lying,44
dry,44
become,44
lie,44
country,44
girls,44
incredible,44
obrien,44
turning,43
cousin,43
dream,43
picked,43
board,43
throws,43
hotel,43
bread,43
airport,43
fruit,43
explain,43
yankees,43
killing,43
secret,43
president,43
opening,43
sarcastic,43
pair,43
wall,42
quick,42
anywhere,42
massage,42
offer,42
saturday,42
dress,41
mentioned,41
rings,41
extra,41
wed,41
showing,41
engaged,41
wild,41
somewhere,41
towards,41
camera,41
plans,41
art,41
concerned,41
heads,41
couldve,41
breakfast,41
quickly,40
heart,40
la,40
upstairs,40
win,40
young,40
song,40
early,40
seconds,40
type,40
picking,40
fly,39
handle,39
smart,39
chest,39
purse,39
shopping,39
cream,39
clear,39
light,39
rid,39
ross,39
theyve,39
normal,39
hasnt,39
stink,39
newmans,39
service,38
involved,38
yankee,38
certainly,38
disappointed,38
perhaps,38
golf,38
cash,38
shake,38
blow,38
team,38
noticed,38
cigars,38
health,38
pass,38
plan,38
missing,38
english,38
bank,38
stuck,38
notices,38
rather,38
acting,38
blue,38
doctors,38
ear,37
hanging,37
smile,37
realize,37
questions,37
mood,37
charge,37
shaking,37
motion,37
tired,37
werent,37
books,37
cable,37
block,37
honey,37
moved,37
insane,37
material,37
comedy,37
besides,37
grabbing,37
jon,37
round,37
heavy,37
meat,36
answering,36
listens,36
wine,36
drake,36
cover,36
paris,36
twice,36
joking,36
forward,36
ow,36
sighs,36
wednesday,36
trust,36
tells,36
attractive,36
careful,36
dogs,36
paid,36
snaps,36
suddenly,36
statue,36
pauses,36
area,36
elevator,36
staring,36
chocolate,36
hallway,36
apologize,36
law,36
toward,36
sports,36
instead,36
hurry,36
code,35
talkin,35
photo,35
rent,35
throat,35
ruined,35
goodnight,35
waves,35
skin,35
plate,35
thirty,35
stands,35
alarm,35
music,35
given,35
certain,35
percent,35
gotten,35
rye,35
beach,35
stock,35
clock,35
closet,34
mirror,34
pool,34
lawyer,34
brother,34
totally,34
listening,34
present,34
baseball,34
worth,34
till,34
familiar,34
sauce,34
scared,34
stinks,34
screaming,34
interrupting,34
america,34
hitting,34
medicine,34
knock,34
unless,34
honest,34
longer,34
dancing,34
race,33
wake,33
shame,33
nothin,33
appreciate,33
roll,33
ate,33
spare,33
near,33
pretend,33
system,33
finished,33
exciting,33
toast,33
single,33
fifteen,33
nodding,33
difficult,33
cancer,33
relax,33
turkey,33
appointment,33
milk,33
played,33
shoot,32
papers,32
legs,32
plus,32
downtown,32
ring,32
library,32
society,32
speaking,32
booth,32
falls,32
places,32
feels,32
stealing,32
truck,32
letter,32
cabin,32
security,32
muffin,32
respect,32
braun,32
loves,32
borrow,32
lemme,32
terrific,32
worse,32
traffic,32
cadillac,31
sofa,31
susans,31
field,31
tip,31
public,31
onto,31
breaking,31
large,31
plenty,31
jerk,31
gun,31
size,31
cheese,31
lovely,31
guide,31
feelings,31
entering,31
third,31
green,31
cents,31
dollar,31
answers,31
mental,31
selling,31
quit,31
fair,31
dance,31
neither,31
broken,31
butler,31
slept,31
less,31
gestures,30
blind,30
aware,30
woah,30
mothers,30
usually,30
lobster,30
delicious,30
games,30
record,30
horrible,30
fall,30
murphy,30
funeral,30
fathers,30
hole,30
aah,30
choice,30
loved,30
signal,30
twelve,30
handing,30
million,30
island,30
nut,30
pain,30
miles,29
bags,29
opposite,29
hm,29
dark,29
serenity,29
stories,29
price,29
wash,29
disgusting,29
join,29
shouldve,29
follow,29
smells,29
pushes,29
deep,29
steal,29
experience,29
knife,29
character,29
power,29
tongue,29
apparently,29
sneakers,29
tbone,29
mans,29
responsible,29
sudden,29
college,29
closes,29
letting,29
laundry,29
somehow,29
except,29
evening,29
festivus,28
someones,28
shed,28
oil,28
pleading,28
train,28
finish,28
heading,28
clothing,28
script,28
losing,28
comin,28
avenue,28
